warehouse_code,product_code,size_code,constrained_target_inv_qty,available_inv_qty,inventory_lower_limit,inventory_upper_limit
STOREM069,T5ABC33874,XS,1,1,1,
STOREM126,T5ABC33874,L,1,0,1,
STOREM126,T5ABC33874,M,1,0,1,
STOREM126,T5ABC33874,S,1,0,1,
STOREM126,T5ABC33874,XS,1,0,1,
STOREM156,T5ABD07499,L,2,2,1,
STOREM156,T5ABD07499,M,1,0,1,
STOREM156,T5ABD07499,S,1,0,1,
STOREM156,T5ABD07499,XL,1,0,1,
STOREM156,T5ABC33874,L,1,1,1,
STOREM156,T5ABC33874,M,2,2,1,
STOREM156,T5ABC33874,S,4,2,1,
STOREM156,T5ABC33874,XS,3,3,1,
STOREM157,T5ABC33874,L,1,0,1,
STOREM157,T5ABC33874,M,1,1,1,
STOREM157,T5ABC33874,S,3,0,1,
STOREM157,T5ABC33874,XS,1,0,1,
STOREM161,T5ABD07499,L,1,1,1,
STOREM161,T5ABD07499,M,1,1,1,
STOREM161,T5ABD07499,S,1,0,1,
STOREM161,T5ABD07499,XL,1,1,1,
STOREM178,T5ABC33874,L,1,0,1,
STOREM178,T5ABC33874,M,1,0,1,
STOREM178,T5ABC33874,S,1,0,1,
STOREM178,T5ABC33874,XS,1,0,1,
STOREM181,T5ABC33874,L,1,0,1,
STOREM181,T5ABC33874,M,1,0,1,
STOREM181,T5ABC33874,S,1,0,1,
STOREM181,T5ABC33874,XS,1,0,1,
STOREM184,T5ABC33874,L,1,0,1,
STOREM184,T5ABC33874,M,1,0,1,
STOREM184,T5ABC33874,S,1,0,1,
STOREM184,T5ABC33874,XS,1,0,1,
STOREM196,T5ABC33874,M,1,1,1,
STOREM196,T5ABC33874,S,2,1,1,
STOREM196,T5ABC33874,XS,1,0,1,
STOREM198,T5ABC33874,L,1,0,1,
STOREM198,T5ABC33874,M,1,0,1,
STOREM198,T5ABC33874,S,3,1,1,
STOREM198,T5ABC33874,XS,1,0,1,
STOREM203,T5ABC33874,L,2,0,1,
STOREM203,T5ABC33874,M,2,2,1,
STOREM203,T5ABC33874,S,1,0,1,
STOREM203,T5ABC33874,XS,1,0,1,
STOREM369,T5ABC33874,L,1,0,1,
STOREM369,T5ABC33874,M,1,0,1,
STOREM369,T5ABC33874,S,1,0,1,
STOREM369,T5ABC33874,XS,1,1,1,
STORE001,T5ABD07499,L,2,1,1,
STORE001,T5ABD07499,M,3,1,1,
STORE001,T5ABD07499,S,1,0,1,
STORE001,T5ABD07499,XL,2,2,1,
STORE001,T5ABD07499,XXL,1,0,1,
STORE008,T5ABC33874,L,1,1,1,
STORE008,T5ABC33874,M,2,1,1,
STORE008,T5ABC33874,S,3,1,1,
STORE008,T5ABC33874,XS,2,2,1,
STORE011,T5ABD07499,L,1,0,1,
STORE011,T5ABD07499,M,1,0,1,
STORE011,T5ABD07499,S,1,0,1,
STORE011,T5ABD07499,XXL,1,0,1,
STORE013,T5ABD07499,L,1,1,1,
STORE013,T5ABD07499,M,1,1,1,
STORE013,T5ABD07499,S,1,0,1,
STORE013,T5ABD07499,XL,2,2,1,
STORE013,T5ABD07499,XXL,1,0,1,
STORE014,T5ABC33874,L,1,0,1,
STORE014,T5ABC33874,M,1,0,1,
STORE014,T5ABC33874,S,1,0,1,
STORE014,T5ABC33874,XS,1,0,1,
STORE023,T5ABC33874,S,1,0,1,
STORE023,T5ABC33874,XS,1,0,1,
STORE032,T5ABD07499,L,1,0,1,
STORE032,T5ABD07499,M,1,0,1,
STORE032,T5ABD07499,S,1,0,1,
STORE032,T5ABD07499,XL,1,1,1,
STORE033,T5ABC33874,S,1,1,1,
STORE033,T5ABC33874,XS,1,1,1,
STORE037,T5ABD07499,L,1,0,1,
STORE037,T5ABD07499,M,1,1,1,
STORE037,T5ABD07499,S,1,1,1,
STORE037,T5ABD07499,XXL,1,1,1,
STORE037,T5ABC33874,L,1,0,1,
STORE037,T5ABC33874,M,1,0,1,
STORE037,T5ABC33874,S,1,1,1,
STORE037,T5ABC33874,XS,2,2,1,
STORE039,T5ABC33874,L,1,0,1,
STORE039,T5ABC33874,M,1,0,1,
STORE039,T5ABC33874,S,1,0,1,
STORE039,T5ABC33874,XS,1,0,1,
STOREM208,T5KCM29871,L,1,0,1,
STOREM208,T5ABC12345,M,1,1,1,
STOREM208,T5ABC12345,S,1,0,1,
STOREM208,T5ABC12345,XS,1,0,1,
STOREM208,T5ABC33874,M,1,0,1,
STOREM208,T5ABC33874,S,2,0,1,
STOREM192,T5ABC12345,S,1,0,1,
STOREM162,T5ABD07499,L,1,0,1,
STOREM162,T5ABD07499,M,1,0,1,
STOREM162,T5ABD07499,S,1,0,1,
STOREM162,T5ABD07499,XL,1,0,1,
STOREM162,T5ABD07499,XXL,1,0,1,
STOREM199,T5ABC33874,M,1,0,1,
STOREM199,T5ABC33874,S,1,1,1,
STOREM205,T5ABC33874,M,1,1,1,
STOREM205,T5ABC33874,S,2,0,1,
STOREM189,T5ABC12345,M,1,0,1,
STOREM189,T5ABC33874,M,1,0,1,
STORE035,T5ABC12345,M,1,0,1,
STORE035,T5ABC12345,XS,1,0,1,
STOREM032,T5ABC12345,L,1,1,1,
STOREM126,T5ABC12345,S,1,0,1,
STOREM126,T5ABC12345,XS,1,0,1,
STORE012,T5ABC33874,L,1,0,1,
STORE012,T5ABC33874,S,1,0,1,
STOREM125,T5ABC12345,M,1,0,1,
STOREM125,T5ABC12345,S,1,0,1,
STOREM125,T5ABC12345,XS,1,0,1,
STOREM194,T5KCM29871,L,1,0,1,
STOREM194,T5KCM29871,M,1,0,1,
STORE014,T5ABD07499,M,1,0,1,
STORE012,T5ABD07499,M,1,1,1,
STOREM128,T5ABC12345,XS,1,0,1,
STORE608,T5KCM29871,L,1,0,1,
STORE608,T5KCM29871,M,1,0,1,
STORE608,T5KCM29871,S,1,0,1,
STORE608,T5KCM29871,XL,1,0,1,
STORE608,T5ABC12345,L,1,0,1,
STORE608,T5ABC12345,M,1,0,1,
STORE608,T5ABC12345,S,1,0,1,
STORE608,T5ABC12345,XS,1,0,1,
STORE608,T5ABC33874,L,1,0,1,
STORE608,T5ABC33874,M,1,0,1,
STORE608,T5ABC33874,S,1,0,1,
STORE608,T5ABC33874,XS,1,0,1,
STORE608,T5ABD07499,M,1,0,1,
STORE042,T5ABC12345,M,1,0,1,
STORE042,T5ABC12345,S,1,0,1,
STORE042,T5ABC12345,XS,1,0,1,
STORE042,T5ABC33874,M,1,0,1,
STORE042,T5ABC33874,S,1,0,1,
STORE042,T5ABC33874,XS,1,0,1,
STORE042,T5ABD07499,L,1,0,1,
STORE042,T5ABD07499,S,1,0,1,
WAREHOUSE020,T5ABD07499,L,0,0,,
WAREHOUSE020,T5KCM29871,M,0,0,,
WAREHOUSE020,T5ABC12345,XS,0,0,,
